Context,intent,context_rw
"It's not entirely true to say I enjoy being sad, but I always find a way to feel that way. I listen to sad music, read tragic stories, and, in a twisted way, like how bad it makes me feel. I focus on negative aspects of my life even if they aren't legitimate or I just make it seem negative.",sadness_low_mood,"Si byo by'ukuri kuvuga ko nishimira kuba mfite agahinda, ariko buri gihe nsanga uburyo bwo kumva uko ndi. Ntega amatwi umuzika ubabaje, nsoma inkuru ziteye agahinda, kandi mu buryo bw'amayobera, nkumva ko ari bibi. Nita ku bintu bibi mu buzima bwanjye nubwo bitaba ari ibikwiriye cyangwa nkumva ari bibi."
Every winter I find myself getting sad because of the weather. How can I fight this?,overwhelmed_identity,"Buri gihe iyo mpanganye n'ibihe bibi, mba numva mfite agahinda."
"I am going through a divorce. He is extremely angry. He refuses to physically assist me with our teenager daughter. I have no extended family support. Often times, I feel overwhelmed, tired, and joyless. I feel out of control, sad and depressed on a daily basis. I am just going through the motions of life every day. I am in my mid-50s. I have almost 29 years on my job. How can I handle this?",sleep,"Ndumva nduhutse, mfite agahinda kandi nihebye, buri munsi mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora mpora"
"I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly.
   I can't get over the loss of a loved one and I'm not close to my family. What can I do?",self_care_coping,"Sinashobora no guseka cyangwa ngo mbeshye. Sinumva ibyishimo mu kintu icyo ari cyo cyose kandi sinashobora gukunda undi muntu, ndetse n'umukunzi wanjye. Rimwe na rimwe nizinukwa. Icyo mbona cyose ni ugukabya. Sinashobora kwihanganira urupfu rw'uwapfuye kandi sinari hafi y'umuryango wanjye."
My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,self_care_coping,Umukobwa wanjye yaretse kunywa inzoga maze arushaho kwiheba cyane.
"I'm a teenager. My dad has been jail for the last five years. It's tough, but my mom really tries to give a normal life to my two sisters, my brother, and I. I feel like I took upon a parent role when I'm the second youngest, and I'm not stable. My mother and sisters say I'm overdramatic. I’m just so hurt, and I keep breaking down.",sadness_low_mood,"Ndi ingimbi. Data amaze imyaka itanu muri gereza. Biragoye, ariko mama agerageza guha ubuzima busanzwe bashiki banjye babiri, murumuna wanjye nanjye. Numva nk'aho nafashe inshingano yo kuba umubyeyi igihe nari umuto wa kabiri, kandi ntari umuntu ukomeye. Mama na bashiki banjye bavuga ko ndi umuntu urenze urugero."
"I'm in my mid 20s with a husband and children. I love my family, but I feel like I've lost my identity, and I don't know who I am other than a mom and wife. At times, all I can think is what I gave up and how I feel unhappy and trapped, but I know I'd feel like worse without them. I loathe myself at times. I have an amazing life, so why can't I just enjoy it?",overwhelmed_identity,"Ndi mu kigero cy'imyaka 20 mfite umugabo n'abana. Nkunda umuryango wanjye, ariko numva ntari umuntu nkunda, kandi sinzi uwo ndi we uretse mama n'umugore. Rimwe na rimwe, icyo ntekereza ni uko nacitse intege, ukuntu numva ntishimye kandi ntari mu mutego, ariko nzi ko numvaga meze nabi ntabifite. Rimwe na rimwe ndanyanga. Mfite ubuzima butangaje, kuki ntashobora kubwishimira?"
"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?",sadness_low_mood,"Mfite imyaka myinshi mpanganye n'ikibazo cyo kwiheba no guhangayika, kandi nagiye mfata imiti, ariko mu gihe gishize nagiye ndushaho kwiheba."
"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",relationship_support,"Hari abantu benshi bemeye kumpa inzu. Mfite ibyokurya, imyambaro n'uburezi bwo muri kaminuza, ariko sinigeze numva ko ndi uwabo. Ndetse n'igihe mba ndi kumwe n'abantu bagombye kuba bari hafi yanjye, numva meze nk'aho ndi kumwe n'incuti kandi sinjya mu rugo."
I am really worried about one of my friends because I think he has major depression. He disagrees with me on that. He is shut off when it comes to talking to people and telling them how he really feels. He told me he feels empty inside and the only emotions he feels are anger and sadness. I suggested to him to get help and talk to his mom about it but he refuses.,sadness_low_mood,"Ndumva mfite impungenge ku nshuti yanjye kuko ntekereza ko afite ikibazo cy'agahinda gakabije. Ibyo ntemeranyaho. Iyo ari kuvuga ku bantu kandi akababwira uko yiyumva, arirengagiza ibyo avuga. Ambwiye ko yumva afite ubusa imbere, kandi ko ibyiyumvo byonyine yumva ari uburakari n'agahinda."
I've become so jaded that I can't control my thoughts. I cannot focus on anything and been having anxiety attacks.,anxiety_worry,"Numvaga nta cyo nshoboye gukora, ntashobora gutekereza ku kintu icyo ari cyo cyose kandi nari mfite ibibazo by'imihangayiko."
"When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong.",sadness_low_mood,"Iyo mpuriye n'umuntu runaka cyangwa iyo ngiye mu rugo, mba mfite agahinda cyangwa nkumva ncitse intege. Iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse, iyo mpangayitse"
"I am a teenager. I have been experiencing major episodes of depression (if that's even what it is) for several years. It’s always getting worse. I have been having panic attacks, feeling like I can't control my fears, and I can't even bring myself to care if I live or die anymore. The problem is that I don't know who to ask for help. When I try to talk to my parents, I freeze completely and can't do anything but make a joke because never once in my life have we talked about our feelings.",overwhelmed_identity,"Ndi ingimbi. Mfite imyaka myinshi mpanganye n'ibihe bikomeye byo kwiheba (niba ari byo rwose) buri gihe birushaho kuzamba. Mfite ibitero by'ubwoba, numva ntashobora gutegeka ubwoba bwanjye, kandi sinashobora no kwitekerezaho niba nzongera kubaho cyangwa gupfa. Ikibazo ni uko ntazi uwo nagombye gusaba ubufasha. Iyo ngerageje kuvugana n'ababyeyi banjye, ndakonja rwose kandi nta kindi nshobora gukora uretse gusetsa kuko nta na rimwe mu buzima bwanjye twaganiriye ku byiyumvo byacu."
I feel lazy and numb. I have no interest in things.,sleep,Numva ndi umunebwe kandi nta cyo nshaka.
"In the past year, two of my best and only close friends moved to different states. Now I have nobody to hang out with. I'm always alone, and I honestly haven't hung out with anyone since they left. I'm super lonely. What should I do to make new friends? Because they moved and I have no friends now, I think I'm falling into a depression or something. I just need help.",sadness_low_mood,"Mu mwaka ushize, inshuti zanjye ebyiri z'inkoramutima n'iz'inkoramutima gusa, zavuye mu bihugu bitandukanye. Ubu nta muntu n'umwe nshobora guhura na we. Buri gihe ndi jyenyine, kandi sinigeze nsanga undi kuva aho bavuye. Ndi mu bwigunge bukomeye. Nakora iki ngo nkunde abandi? Kubera ko bavuye mu bindi bihugu kandi nta nshuti mfite, numva nihebye cyangwa ikindi kintu. Nkeneye gusa ubufasha."
I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,sleep,Ni jyewe kibazo. Ndatuma umuryango wanjye urwana kubera jye. Mama na we arabivuga. Ni uko bigenda buri gihe. Ni jye uteza ibibazo. Ndi umunyabyaha. Sinashobora kureka kurira. Rimwe na rimwe njya ndira ndaryama. Sinashobora no kuva mu cyumba kuko umuryango wanjye udashobora kunyihanganira.
"I'm depressed often, and my mind goes a million miles a minute. Every once in a while, things are okay for a few days. After a bit, I start noticing that I am picking at my skin profusely. After roughly a week, the anxiety is back and still picking. Sometimes I find myself causing fights to have change.",overwhelmed_identity,"Iyo umuntu atangiye kugira agahinda kenshi, ubwenge bwe bukagenda ibirometero bibarirwa mu bihumbi buri minota. Rimwe na rimwe, ibintu bimara iminsi bike nta kibazo. Nyuma y'igihe gito, ntangira kubona ko mpita mpindura uko mbyumva. Nyuma y'icyumweru, imihangayiko igaruka, kandi ikomeza kwiyongera."
I'm very depressed. How do I find someone to talk to?,sadness_low_mood,Ndi mu kaga cyane. Nzakora iki ngo mbone uwo tuganira?
I'm constantly in a bad mood and I have no energy. Is that depression?,sadness_low_mood,Buri gihe mba mfite imimerere mibi kandi nta mbaraga mfite.
"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.    Sometimes I feel i'm not worth knowing or i'm never going to do anything right.
   Are they right, am I depressed?",sadness_low_mood,"Ndi mu kigero cy'imyaka ya nyuma y'amabyiruka, nkabana na papa. Igihe cyonyine njya hanze ni mu masomo yanjye ya kaminuza. Rimwe na rimwe iyo mbonye incuti zanjye nshaka kuvugana na zo, ariko hari igihe ntashaka kuvugana na zo iminsi cyangwa se ibyumweru. Hari igihe numva ko nta cyo nkwiriye kumenya cyangwa ko ntazigera nkora ikintu cyiza."
"She has trouble falling and staying asleep and she's always either extremely hungry or not hungry at all. She also gets angry and feels like crying really easily for no reason. She says she is always ""kind of down.""
   Is this depression? What can I do to help her?",self_care_coping,"Iyo umuntu asinziriye, yumva afite ikibazo cyo gusinzira, kandi buri gihe aba ashonje cyane cyangwa nta nzara afite. Nanone ararakara, akumva ashaka kurira bidatinze nta mpamvu."
"I'm a teenager and I I go through periods of moodiness. I have extreme feelings (but I bury them), and then I feel nothing - just empty and emotionless.
   I have trust issues, low self esteem,ban extreme fear of abandonment, and I constantly reevaluate my relationships. I also don't know who I am as a person. I'm not happy overall, but I'm not suicidal. Can I just feel happy?",sadness_low_mood,"Ndi ingimbi, ndumva mfite ibyiyumvo bikomeye (ariko ndabihisha), hanyuma nkaba nta cyo numva - gusa nta kintu na kimwe mfite, nta n'ibyiyumvo mfite. Mfite ibibazo byo kwizerana, kwiyemera hasi, kuba ntinya cyane ko umuntu atagomba kumutabara, kandi mpora nsubiraho gusuzuma imishyikirano mfitanye na we."
"I had a very troubled up bringing and I'm currently dealing with alot right now. I know some people may not think so, but to me its a lot. I feel overwhelmed. Could this be depression?
   I use to be in therapy as a child. Alll throughout elementry, middle, and high school I had counseling 2-3 times a week. I haven't be in counseling lately though.",overwhelmed_identity,"Hari igihe nari mfite ibibazo byinshi byo kurera abana, ubu mfite ibibazo byinshi. Hari abantu bashobora kutekereza ko ari byo, ariko kuri jye ni byinshi. Numva ndemerewe. Ese ibi bishobora kuba ari agahinda?"
"I think adult life is making him depressed and we often sleep in on weekends untill 1 or 2 pm. We just eat, smoke weed, watch movies, and he'll go on his phone all day. He doesn't seem motivated to do much and he's often angry.
    I have no clue how to help him take his mind off the negative, or to distract him into a different light. How do I help him?",sleep,"Ndumva ubuzima bw'umuntu mukuru burimo kumutera kwiheba kandi akenshi turyama mu mpera z'icyumweru kugeza saa kumi n'ebyiri z'umugoroba. Turarya gusa, turanywa urumogi, turareba filime, kandi akagenda kuri telefoni ye umunsi wose."
My mother is combative with me when I say I don't want to talk with her about my depression.    She hasn't been supportive of me in the past and she isn't someone that I feel comfortable opening up to. She constantly tries to instigate conversations where she asks me questions that I don't want to or can't answer. I tell her I don't want to talk and she starts arguments with me.    How can I get her to understand?,sadness_low_mood,"Mama arankangisha iyo mvuze ko ntashaka kumuvugisha ku kibazo cy'agahinda mfite. Mu gihe cyahise ntiyigeze amfasha kandi ntabwo ari umuntu numva nisanzuye kumubwira. Akomeza kugerageza kumfasha kuganira ambwira ibibazo ntashaka cyangwa ntashobora gusubiza. Mbabwira ko ntashaka kuvuga, atangira kunshinja amakimbirane. Namugororera nte?"
I just feel sad all the time and I don't like anyone in my family. I feel like they're trying to control me and won't let me grow.,sadness_low_mood,Gusa numva mfite agahinda kenshi kandi nta muntu n'umwe nkunda mu muryango wanjye.
"I can't seem to feel any emotion except anxiety, not even for myself.",overwhelmed_identity,"Nta kintu na kimwe numvise uretse imihangayiko, ndetse no kuri jye."
I know I need to deal with my depression. But I don't know how and I don't want to tell anyone.    How can I deal with depression without telling anyone?,sadness_low_mood,"Nzi ko ngomba guhangana n'ikibazo cy'agahinda mfite, ariko sinzi uko mbikora kandi sinshaka kubimenyesha umuntu."
I'm dealing with an illness that will never go away and I feel like my life will never change for the better. I feel alone and that i have no one.    How can I overcome this pain and learn to be happy alone?,relationship_support,Ubu ndwaye indwara itazigera irangira kandi numva ubuzima bwanjye butazigera buhinduka. Numva ndi jyenyine kandi nta wundi mfite. Ni gute nshobora kunesha ikibi kandi nkamenya kugira ibyishimo jyenyine?
"How do I make myself happy without the people who made me happy? Now that they’re gone, I feel sad. It’s been two months now but I seem to be unable to stay okay and independent.",overwhelmed_identity,"Ubu se ko batakiriho, numva mfite agahinda, ubu hashize amezi abiri ariko mbona ntashobora gukomeza kuba umuntu mwiza kandi wigenga?"
"I feel like I am internally screaming all the time. Externally, I am calm, but I have this intense, unidentifiable emotion constantly. I don't feel sad. I don't cry a lot. I feel rather emotionally distant other than the internal screaming. It kind of feels like I'm a caged animal.",sadness_low_mood,"Numva mu mutima wanjye mpora ndira. Ku rundi ruhande, ndi umuntu utuje, ariko mpora mfite ibyiyumvo bikomeye, bidasanzwe. Sinumva mfite agahinda. Sinarira cyane. Numva mu byiyumvo bwanjye ntari kure y'ibyo mpora ndira."
"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.",sadness_low_mood,"Sinigeze nshobora kuganira n'ababyeyi banjye. Ababyeyi banjye bari mu myaka mirongo itandatu y'amavuko nkiri umwangavu. Ndabakunda bombi ariko sinkunda kamere yabo. Numva ko batanyumva mu buryo bwuzuye igihe cyose mvuga ku kintu gikomeye mu buzima bwanjye. Niba papa atanyemera, mama ajya hamwe na papa akigira nk'aho na we atanyemera. Ndi umunyabitsina gabo, ariko sinshobora kwiringira ababyeyi banjye. Narwanye n'agahinda, ariko stress n'imihangayiko biranshyira mu kaga."
"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?",sadness_low_mood,"Sinzi uko mbisobanura, icyo navuga ni uko numva nta cyo maze, nta cyo numva."
"People who are parental figures in my life have, in the past, hurt me, and some continue to do so. It makes me feel like I'm not good enough for my husband or the life he provides me. I have had jobs, but I am going through a lot of my past garbage and trying to figure out when it all went wrong. Any time I bring these things up, I am expected to be over the issue. These are people that you can't just cut out, but I have never received apologies for so much of my pain. I don't know what to do any more. I don't know who I am anymore.",relationship_support,"Abantu babaye ababyeyi mu buzima bwanjye, mu gihe cyahise, barandenganyije, kandi bamwe bakomeje kubikora. Binyereka ko ntari mwiza bihagije ku mugabo wanjye cyangwa ku buzima ampa. Nari mfite akazi, ariko nkora ibintu byinshi by'ubupfapfa mu gihe cyahise, ngerageza kumenya igihe byose byahise bihinduka nabi. Igihe cyose mbwira ibyo bintu, birashoboka ko nzarangiza icyo kibazo. Abo ni abantu udashobora guca mu nzira gusa, ariko sinigeze menya gusaba imbabazi ku mibabaro yanjye myinshi. Sinzi icyo nakora."
I am going through a very hard time and I'm so depressed. My parents are getting a divorce and a lot of bad things are happening. I want to lull myself.,overwhelmed_identity,Ndi mu bihe bikomeye cyane kandi ndumva nihebye cyane ababyeyi banjye baratana kandi ibintu bibi birimo kuba.
"My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates. I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates. After that, I was fine for a couple of years. I entered my first year of college in a really tough program with high demands of expected work. I believe my depression re-booted from there with the stress. I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her. Obviously, that wasn't the right choice. I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed. I have a big problem with handling problems in life. Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better. I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression. I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones.",self_care_coping,"Mfite ikibazo cy'ihungabana ryiyongereye cyane. Byose byatangiye igihe nari mu mashuri yisumbuye. Mu mwaka wa 9 umukuru w'ishuri yambwiye ko ngomba kumara iminsi mike mu rugo kugira ngo nirinde mu gihe yavuganaga n'abanyeshuri bagenzi banjye. Nabaga nkeneye ubufasha bw'umunyamwuga mu guhangana n'ihungabana kubera ko nari mfite amarira menshi kubera imihangayiko yo kujya mu ishuri no guhangana n'abanyeshuri bagenzi banjye. Nyuma yaho, namaze imyaka ibiri nta kibazo."
"I've been depressed for quite a while. I've been trying to work through it, and my boyfriend has been my rock. He is honestly the only person I trust enough to talk to about anything, but he decided to break up with me because of my depression. I cannot afford to see a therapist or anything, so he saw no hope in staying with me. My insurance has a $5000 deductible, so I’m screwed. I've had everything from suicidal thoughts to trying to quit my job. I have no one. My family doesn't care about me; they kicked me out when I turned 18 a few years ago. I had friends, but they have all moved on with their lives and have no time for me. My ex-boyfriend is trying to help but is making things worse because every time I see or hear him, I break down into tears. I found out that I will never be promoted now because of my depression.",sadness_low_mood,"Mfite igihe kinini ndwaye ibibyimba. Nagiye ngerageza kubikemura, kandi umukunzi wanjye ni we mbaraga zanjye. Ni ukuri ni we muntu wenyine nizeraga ku buryo nshobora kuvugana na we ku kintu icyo ari cyo cyose, ariko yafashe umwanzuro wo gutandukana nanjye kubera agahinda mfite. Sinashoboraga kubona umwarimu cyangwa ikindi kintu icyo ari cyo cyose, bityo ntiyabonaga ko hari icyizere cyo kuguma hamwe nanjye. Umwishingizi wanjye ufite amafaranga 5000 y'ubuvuzi, bityo ndananirwa."
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.",sadness_low_mood,"Amaze kuva mu bitaro, yararakaye, nyuma yaho amara igihe kirekire mu buryo butangaje, ariko noneho yongeye kwiheba kandi nta byiringiro afite."
I always feel like I'm doing something wrong. Everything I do is crappy. I want to cry all the time. I can't eat or sleep.,sleep,"Buri gihe numva ko hari ikintu kibi ndimo nkora, ibyo nkora byose ni bibi, nifuza kurira igihe cyose, sinashobora kurya cyangwa kuryama."
"I'm depressed. I have been for years. I hide it from everyone because I'm scared of the reactions I'll get. Last time I tried telling my parents, it was a huge argument about me being too young to be depressed (I’m a legal adult), calling me ungrateful, and telling me that if I can't handle things now, it's only going to get worse in the future (which is turning out to be true). It's exhausting pretending to be okay, and I don't know how much longer I can try. I'm just really tired, and sadly, I can't afford the help I need on my own.",sleep,"Mfite agahinda kenshi. Mfite imyaka myinshi. Ndahisha buri wese kuko ntinya uko nzakwirakwiza. Igihe naherukaga kubwira ababyeyi banjye, hari impaka zikomeye z'uko nari nkiri muto cyane ku buryo ntashoboraga kwiheba (ndi umuntu mukuru wemewe n'amategeko), ko ntashimira, kandi ko nari kubwira ko niba ntashobora guhangana n'ibintu ubu, bizagenda birushaho kuzamba mu gihe kizaza (biki bikaba biboneka ko ari ukuri)."
"I have terrible anxiety and depression. I've tried various therapists and pills, but nothing's helped.",sadness_low_mood,"Nagiye ngerageza ku barwayi b'indwara zitandukanye n'imiti, ariko nta cyo byamfashije."
"He said he would try and he never did. It's been nine months, and this is making me worse. Today, he said I have to respect whatever decision he makes. Is that true? Am I supposed to respect the decision to leave because he can't handle what I'm going through and leaves me here crying and worried every night? He's constantly changing his mind on if he wants to work it out.",overwhelmed_identity,"Yambwiye ko azagerageza ariko ntiyigeze abikora. Hashize amezi icyenda, kandi ibi birandusha uburemere. Uyu munsi, yavuze ko ngomba kubaha icyemezo cyose afata. Ese ni byo? Ese nagombye kubaha icyemezo cyo kugenda kuko adashobora kwihanganira ibyo mpura na byo kandi akandeka hano ndira kandi mpangayitse buri joro?"
"I'm in my late 50s. I never loved or have been loved. I need deeper help than is offered in my small town, but I cannot leave this town because of agoraphobia. I find myself losing hope more and more. My brain barely works anymore, and my memory so small, I forget in a moment. I serve no purpose. I'm incapable of work or anything of value, and I never have been. I’m a complete waste of time and resources, and yet I keep trying. Why? Why does God insist that I continue to exist? I’m not suicidal, just tired.",sleep,"Ndi mu myaka 50 y'amavuko. Sinigeze nkunda cyangwa nkundwa. Nkeneye ubufasha bwimbitse kurusha uko nabwiwe mu mujyi muto wanjye, ariko sinshobora kuva muri uyu mujyi kubera agoraphobia. Ndushaho gutakaza icyizere. Ubwonko bwanjye burakora cyane, kandi ubushobozi bwanjye bwo kwibuka bugabanuka cyane, nibagirwa mu kanya gato. Nta ntego mfite. Sinashobora gukora cyangwa gukora ikintu cy'agaciro, kandi sinigeze mbikora. Ndi imfabusa y'igihe n'umutungo, ariko nkomeza kugerageza. Kuki? Kuki Imana itera inkunga yo gukomeza kubaho?"
"Both of my parents committed suicide together, and I was the one who found them. I suffer from overwhelming depression, which is having an extreme effect on me and my husband’s sex lives. He does not understand at all and is always making me feel so uncomfortable about sex.",overwhelmed_identity,"Ababyeyi banjye bombi biyahuriye hamwe, kandi ni jye wabashyizeho. Mfite indwara yo kwiheba cyane, ikagira ingaruka zikomeye ku buzima bwanjye no ku buzima bw'umugabo wanjye mu by'ibitsina."
"I stress over everything. If I don't have enough ""quality time"" with my boyfriend, I start to feel resentment towards him. He has three children, and they are great kids, but I find we don't have much time together. I break down easily and find myself depressed.",overwhelmed_identity,"Iyo ntari kumwe n'umukunzi wanjye, ntangira kumugirira inzika. Afite abana batatu, kandi ni abana beza, ariko nsanga nta mwanya munini tumarana. Ndumva ndwaye indwara y'ihungabana kandi numva nihebye."
